direct_answer,click,organic_click_3p,organic_click_1p,time_elapsed,n_featured_snippet,n_knowledge_panel_rhs,n_people_also_ask,n_top_stories,n_twitter_cards,n_videos,n_images,n_ad,n_local_results,n_recipes,n_products,Reference,News and Media,Business,Shopping,Information Technology,Education,Entertainment,Streaming Media and Download,Health and Wellness,Government and Legal Organizations,Social Networking,Restaurant and Dining,Finance and Banking,Sports,Games,Society and Lifestyles,Newsgroups and Message Boards,Arts and Culture,Travel,Real Estate,click_prev_1,organic_click_3p_prev_1,organic_click_1p_prev_1,log_time_elapsed_prev_1,log_time_prev_1,user_id
1,0,0,0,12.357,0,0,0,1,0,0,0,0,0,0,0,0.0,0.1413040062843675,0.2053809897879026,0.0,0.0,0.0,0.0,0.0,0.0,0.597643362136685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0183636921712456,9.654052193412738,1361
1,1,1,0,1.457,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7278947368421054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-0.5516476182862456,4.283669317057013,559
1,1,1,0,35.043,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7278947368421054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.9934750731286444,7.361365263741439,559
1,0,0,0,0.5760000000000001,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6575651228312988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.556575878841669,4.520744553985704,559
1,0,0,0,1.484,0,1,1,0,0,1,0,0,0,0,0,0.1097745020619461,0.3655435640958147,0.0,0.0,0.0,0.0184171273142053,0.4246292884092306,0.0816355181188031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.7277874667852418,5.069878570136895,38
1,0,0,0,35.37000000000001,0,1,1,1,0,0,0,0,0,0,0,0.0998810464717106,0.8071914992136294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0477330970229684,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.616738682651619,8.690053632671695,1354
1,0,0,0,8.557,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.433262416635662,13.1995987697916,179
1,0,0,0,11.396,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.669878553620591,11.022591610072777,179
1,1,1,0,28.185,0,1,0,1,0,0,0,0,0,0,0,0.1221615141664936,0.3148673260022593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3467736357977731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.3617026974771345,11.265072702490391,712
1,1,1,0,3.197,0,1,0,1,0,1,0,0,0,0,0,0.1525900509277505,0.7507245032805508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.7288196694541809,10.69060865687148,979
1,1,0,1,9.848,0,1,1,1,0,0,0,0,0,0,0,0.0893109291160689,0.5009021305971321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.6748510509823322,5.855160743472601,616
1,1,1,0,8.691,0,1,0,1,0,1,0,0,0,0,0,0.0,0.2457978809728051,0.0,0.0,0.4346246879805873,0.0,0.1514540297838468,0.0972727764511315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0708506248116291,0.0,0.0,0.0,0.0,1,1,0,3.136059273645269,9.529207254099722,1117
1,1,1,0,7.421,0,1,1,0,0,0,0,0,0,0,0,0.2189828362299929,0.4584108649829751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.143832895313294,6.005522765659013,1463
1,1,1,0,3.506,0,1,1,1,0,1,0,0,0,0,0,0.2864819547277302,0.1631195644488438,0.0,0.0,0.0,0.0,0.0,0.0926051252007555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.097945399680406,9.22296415567046,1560
1,1,1,0,14.027,0,1,1,1,0,1,0,0,0,0,0,0.0354185202929299,0.7770857573061392,0.0,0.0,0.0,0.0,0.0,0.0784340565327492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1090616658681814,0.0,0.0,0.0,0.0,1,0,1,2.726217505057659,8.650376673526916,939
1,1,1,0,14.326,0,1,0,0,0,0,0,0,0,0,0,0.0167572789180816,0.3563416600803136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1804501073775137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.629686619301117,6.03524216945387,487
1,0,0,0,3.791,0,1,0,1,0,0,0,0,0,0,0,0.0677010089832552,0.7498828103987523,0.0,0.0,0.0,0.0544605051832384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.721821605186128,11.24617865918217,1522
1,0,0,0,10.146,0,0,0,1,0,0,0,0,0,0,0,0.0,0.5699685781618224,0.0968342498036134,0.0,0.0444697564807541,0.0,0.0,0.0,0.0,0.2562058130400629,0.0325216025137469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.3398808777377424,3.701894391191431,971
1,1,1,0,9.408,0,1,0,0,0,0,0,1,0,0,0,0.048231218088986,0.0,0.0168444566010211,0.6299462071480673,0.0314551422319474,0.0,0.2037290299051787,0.0697939460247992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.6724341389624038,4.97384682064842,629
1,1,1,0,16.320999999999998,0,1,0,0,0,0,0,1,0,0,0,0.0480072600771382,0.0,0.0,0.6270210995991836,0.0313090826590031,0.0,0.2027830295696892,0.0750056719352642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.1996522299004417,8.929048770234411,629
1,0,0,0,300.0,0,1,0,0,0,0,0,1,0,0,0,0.048231218088986,0.0,0.0168444566010211,0.6299462071480673,0.0314551422319474,0.0,0.2037290299051787,0.0697939460247992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.1155323618241897,4.467458640112605,629
1,1,1,0,9.502,0,1,1,1,0,1,0,0,0,0,0,0.1931657890655581,0.549114890662964,0.0002732502750964,0.0,0.0,0.0001772434216841,6.646628313159596e-05,0.0003323314156579,0.0,0.0,6.646628313159596e-05,0.0,0.0,0.0,0.0,5.908114056141863e-05,0.0,0.0,7.385142570177328e-06,0.0,1,1,0,2.0880295588663693,5.705434442738582,1594
1,1,1,0,6.2,0,1,0,1,0,0,0,0,0,0,0,0.053569095757352,0.4614273309203804,0.0,0.0,0.0,0.2506320553903376,0.0,0.0,0.0,0.0,0.0,0.0,0.0487816123752218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.9463386286733808,3.879665089320021,616
1,1,1,0,13.983,0,1,0,0,0,0,0,0,0,0,0,0.0801785419077532,0.6517399570176889,0.0,0.0,0.0,0.0655893536121672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.82743195812229,6.584263628833638,1232
1,1,1,0,176.382,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8497297925504098,0.0,0.0,0.0,0.0,0.0,0.0,0.1502702074495902,0,0,0,2.584902802946676,11.231288868415197,1530
1,0,0,0,32.992000000000004,0,0,1,0,0,0,0,0,0,0,0,0.1022875923866832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8977124076133167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.502009557687663,7.235363344664878,979
1,0,0,0,17.250999999999998,0,1,1,1,0,1,0,0,0,0,0,0.0227444364103798,0.2755443078653491,0.0,0.0,0.0,0.0,0.0736563027235478,0.0569374146380653,0.0,0.0,0.0,0.0,0.0,0.0,0.5711175383626579,0.0,0.0,0.0,0.0,0.0,0,0,0,1.2820443397460914,11.00707190995876,637
1,0,0,0,126.011,0,0,1,1,0,0,0,0,0,0,0,0.0,0.3352267087253355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.255703107093915,10.502676271808504,1605
1,1,1,0,16.223000000000006,0,0,1,1,0,1,0,0,0,0,0,0.0558284788775243,0.4059219886714453,0.0,0.0,0.0,0.2339534509140695,0.0820380660921854,0.0535019194115594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168756096033216,0.0,0.0,0.0,0.0,1,1,0,2.5481161631858846,9.131391207832577,979
1,0,0,0,28.754,0,1,1,1,0,1,0,0,0,0,0,0.0897269180754224,0.7048199986311686,0.0,0.0,0.0,0.0484309766614195,0.0,0.060630689206762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0963914174252274,0.0,0.0,0.0,0.0,1,0,1,1.957979873142644,9.895214222730326,1611
1,1,0,1,19.521,0,1,1,1,0,1,0,0,0,0,0,0.0617767399570177,0.2617684741279548,0.0,0.0,0.0,0.1292672342535956,0.0,0.1823235245495124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3648640271119195,0.0,0.0,0.0,0.0,1,1,0,2.818099706246168,9.404442596735208,713
1,0,0,0,6.593999999999999,0,0,1,1,0,0,0,0,0,0,0,0.0,0.94105513553077,0.0,0.0,0.05894486446923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,2.469369910638871,6.859861462972639,1319
1,0,0,0,27.685,0,0,1,1,0,1,0,0,0,0,0,0.0400952989714683,0.6372150231468031,0.0,0.0,0.0,0.0548259631588122,0.0,0.0579057469928525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2099579677300637,0.0,0.0,0.0,0.0,0,0,0,3.137448826172472,3.65643373874585,900
1,1,1,0,16.579,0,1,1,1,0,1,0,0,0,0,0,0.2229109294136705,0.0781658979102899,0.0,0.0541227225059467,0.0,0.0,0.3290504650905031,0.2142911952527517,0.0,0.0,0.0352974277212696,0.0,0.0,0.0,0.0,0.04826539573191,0.0,0.0178959663736581,0.0,0.0,1,1,0,1.4281558152148082,10.191454559390246,1486
1,0,0,0,20.200000000000006,0,0,0,0,0,1,1,0,0,0,0,0.09827965435978,0.0498664571877454,0.0,0.0,0.0325216025137469,0.0,0.357745483110762,0.4615868028279655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,2.095437914764436,6.851377501542763,648
1,1,1,0,101.869,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0214096649776902,0.0,0.0,0.0,0.0,0.0,0.0,0.9627164788625882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,4.322555253869329,5.173179223281536,662
1,1,1,0,22.638,0,0,0,1,0,0,0,0,0,0,0,0.0,0.543974862529458,0.0,0.0,0.0,0.0444697564807541,0.0,0.0,0.0,0.1746582875098192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.472494263544189,4.7980194646687,1187
