knowledge_panel_rhs,click,organic_click_3p,organic_click_1p,time_elapsed,n_direct_answer,n_people_also_ask,n_top_stories,n_twitter_cards,n_videos,n_images,n_ad,n_local_results,n_map_results,n_recipes,n_products,Reference,News and Media,Business,Shopping,Information Technology,Education,Entertainment,Streaming Media and Download,Health and Wellness,Government and Legal Organizations,Social Networking,Restaurant and Dining,Finance and Banking,Sports,Games,Society and Lifestyles,Newsgroups and Message Boards,Arts and Culture,Travel,Real Estate,click_prev_1,organic_click_3p_prev_1,organic_click_1p_prev_1,log_time_elapsed_prev_1,log_time_prev_1,user_id
1,1,1,0,73.68100000000003,0,1,0,0,0,1,0,0,0,0,0,0.0116271340416338,0.0331198830085417,0.0533884315832619,0.0,0.0001661810487131,0.0,0.0001274054706801,0.0,0.0,0.0002271140999079,0.0900424315611047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002714290462315,0.0,1,1,0,1.691754954923314,5.935193092744333,608
1,0,0,0,12.196000000000002,0,0,0,0,1,0,0,0,0,0,0,0.3352045773507504,0.4548580373529093,0.0,0.0,0.0,0.0,0.0,0.0305570549498002,0.0,0.0,0.0,0.0,0.0,0.1411259851020188,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.9413282395502016,4.081883916496768,616
1,0,0,0,39.767,0,1,1,0,1,0,0,0,0,0,0,0.3909992539041396,0.3875710720625691,0.0589673004193573,0.0,0.0,0.0,0.0,0.0455825979572409,0.0,0.0,0.0,0.0,0.116879775656693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.2418498884280225,10.625874552429144,493
1,1,1,0,15.076,0,1,1,0,1,0,0,0,0,0,0,0.4637483695160854,0.1864434141364569,0.0,0.0,0.0,0.0,0.2906071211788559,0.0592010951686017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.9929300397318568,10.289213689322027,1402
1,1,1,0,9.264,0,1,1,0,1,0,0,0,0,0,0,0.2013942919244687,0.2138922850826818,0.0,0.0,0.0437615007471626,0.0,0.056611463080286,0.4843404591654009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.5687881337687024,7.81765805121737,457
1,1,1,0,2.281,0,0,0,0,0,0,0,0,0,0,0,0.5000828180212016,0.0690757508833922,0.0663041077738515,0.0,0.0506183745583038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2809076855123675,0.0,1,1,0,1.3131858892992525,3.388145913917424,616
1,0,0,0,5.466,0,1,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.3299719734022091,0.0,0.0,0.0,0.0436060889157552,0.4468250261032039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.269568939183719,4.637637376125593,616
1,0,0,0,27.833,0,1,0,0,0,0,0,0,0,0,0,0.5143618108715899,0.0,0.0762953456147921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306146786906844,0.0,0,0,0,0.0382587121170902,2.9863382879121216,616
1,1,1,0,9.693,0,0,0,1,1,0,0,0,0,0,0,0.1076584929469823,0.0,0.0,0.0,0.0,0.5366040060903001,0.0,0.0543150486098356,0.0,0.0,0.1045422499748212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.2530796730902063,5.920513509664866,1529
1,0,0,0,4.9620000000000015,0,1,1,0,1,0,0,0,0,0,0,0.4251398018881328,0.1955612093347625,0.0,0.0,0.0,0.0,0.1549379447508103,0.0807880564631736,0.0,0.0,0.1435729875631206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-0.0932123817221787,7.395692142237897,616
